,Lemma,definition
30922,праотец,"<i>Noun</i><br>1. ancestor, forefather (one from whom a person is descended)"
30923,викторина,<i>Noun</i><br>1. quiz (a test of knowledge)
30924,китаянка,<i>Noun</i><br>1. a Chinese
30925,преамбула,<i>Noun</i><br>1. preamble
30926,вазовский,
30927,надругательство,"<i>Noun</i><br>1. outrage, sacrilege<br>2. mockery, ridicule, abuse"
30928,предсказуемость,<i>Noun</i><br>1. predictability
30929,кластерный,
30930,буферный,
30931,клев,
30932,тролль,<i>Noun</i><br>1.  troll (supernatural being in Scandinavian mythology)<br><i>Noun</i><br>1.  troll (supernatural being in Scandinavian mythology)
30933,бусинка,<i>Noun</i><br>1. bead (pierced small round object)
30934,наделение,"<i>Noun</i><br>1. allotment, investment"
30935,клетушка,"<i>Noun</i><br>1. closet, storeroom<br>2. cage"
30936,клетчатка,<i>Noun</i><br>1. cellulose<br>2. cellular tissue
30937,виолончелист,<i>Noun</i><br>1. cellist
30938,каннский,
30939,бура,"<i>Noun</i><br>1. Boer (white South African person of Dutch, or by extension other non-Anglo-Saxon, descent)<br><i>Noun</i><br>1. Boer (white South African person of Dutch, or by extension other non-Anglo-Saxon, descent)"
30940,тумблер,
30941,мордовский,
30942,истоптать,
30943,неверность,"<i>Noun</i><br>1. infidelity, unfaithfulness (unfaithfulness in marriage or other moral obligation)<br>2. disloyalty<br>3. incorrectness"
30944,расточать,
30945,краснота,<i>Noun</i><br>1. redness
30946,мидия,<i>Noun</i><br>1. mussel
30947,вполуха,
30948,мигрировать,
30949,батрак,<i>Noun</i><br>1. farm labourer; cotter
30950,впотьмах,
30951,по-латыни,
30952,интенциональный,
30953,интенциональность,
30954,строп,"<i>Noun</i><br>1. roof, attic, loft<br><i>Noun</i><br>1. roof, attic, loft"
30955,покупательский,
30956,цыкнуть,
30957,баста,"<i>Interjection</i><br>1. basta (that's enough, stop)"
30958,баск,<i>Noun</i><br>1. Basque (member of a people)
30959,барыш,"<i>Noun</i><br>1. profit, income"
30960,вразнобой,
30961,нездоровье,"<i>Noun</i><br>1. unhealthiness, ill health<br>2. illness, ailment"
30962,эксплуататор,<i>Noun</i><br>1. exploiter
30963,терроризировать,<i>Verb</i><br>1. to terrorize
30964,растерзанный,<i>Verb</i><br>1. to tear to pieces
30965,кредитовать,
30966,интеллектуально,
30967,пролистать,
30968,территориально,
30969,вплетаться,
30970,полемизировать,
30971,микроклимат,<i>Noun</i><br>1. microclimate
30972,ряска,<i>Noun</i><br>1. cassock
30973,кофеин,<i>Noun</i><br>1. caffeine
30974,союзнический,
30975,продеть,
30976,политэкономия,<i>Noun</i><br>1. political economy
30977,расцветить,
30978,бездарь,"<i>Noun</i><br>1. bungler, botcher<br>2. bunglers, botchers"
30979,тщиться,"<i>Verb</i><br>1. to endeavor, to strive, to try"
30980,безветренный,
30981,строгать,"<i>Verb</i><br>1. to plane, to shave (in terms of wood)<br>2. to slice"
30982,миллиардный,
30983,интонационный,"<i>Adjective</i><br>1. intonation, prosodic"
30984,савеловский,
30985,впитываться,
30986,раструб,"<i>Noun</i><br>1. funnel-shaped extension, e.g. flare , bell<br>2. ochrea, ocrea"
30987,тын,<i>Noun</i><br>1. fence (especially one made of twigs)
30988,чарка,"<i>Noun</i><br>1. cup, glass, goblet (for drinking alcohol)<br>2. cup (volume of liquid that can fit in such a vessel)<br>3. charka, a unit of liquid measure in Russia till 1925 containing 123 ml"
30989,растрогаться,
30990,тетрадный,
30991,безапелляционно,
30992,незадача,<i>Noun</i><br>1. bad luck
30993,чакра,<i>Noun</i><br>1. chakra (spiritual energy nexuses)<br>2. chakram (Indian throwing weapon)
30994,растрескаться,
30995,беднота,<i>Noun</i><br>1. the poor
30996,тесьма,"<i>Noun</i><br>1. band, lace, tape, ribbon<br>2. webbing"
30997,терраска,
30998,экспонироваться,
30999,покоряться,"<i>Verb</i><br>1. to subdue, to conquer, to subjugate, to win (over)"
31000,всосать,"<i>Verb</i><br>1. to suck in<br>2. to soak up, to soak in, to absorb"
31001,соученик,
31002,метаболизм,
31003,кристальный,<i>Adjective</i><br>1. crystal
31004,местоимение,<i>Noun</i><br>1. pronoun
31005,некрашеный,
31006,местожительство,<i>Noun</i><br>1. place of residence
31007,инерциальный,
31008,критичный,
31009,мессианский,
31010,нелады,"<i>Noun</i><br>1. disagreements, inability to get along"
31011,прорицатель,<i>Noun</i><br>1. diviner<br>2. augur (diviner who foretells events by unusual occurrences)
31012,просверлить,
31013,инкрустация,"<i>Noun</i><br>1. incrustation, inlay (process or result)<br>2. embellishment"
31014,теплоизоляция,
31015,проседь,<i>Noun</i><br>1. graying hair or fur
31016,просительно,
31017,самодержавный,<i>Adjective</i><br>1. autocratic
31018,ментовский,
31019,проскрипеть,"<i>Verb</i><br>1. to creak, to screech, to squeak"
31020,мена,"<i>Noun</i><br>1. exchange, barter, swap"
31021,прослеживать,"<i>Verb</i><br>1. to spy (on), to track<br>2. to trail, to follow<br>3. to trace, to retrace (to track the development of)<br>4. to observe, to see to (it), to make sure"
31022,позариться,
31023,вспухнуть,
31024,индикация,
31025,студиец,
31026,циновка,<i>Noun</i><br>1. mat
31027,промочить,
31028,цирроз,<i>Noun</i><br>1. cirrhosis
31029,термостат,
31030,инструктировать,
31031,рассыпчатый,"<i>Adjective</i><br>1. crumbly, friable"
31032,крестец,<i>Noun</i><br>1. sacrum
31033,структурно,
31034,баптист,<i>Noun</i><br>1. Baptist
31035,экстракция,
31036,врубиться,
31037,проныра,
31038,всасывать,"<i>Verb</i><br>1. to suck in<br>2. to soak up, to soak in, to absorb"
31039,неискренний,"<i>Adjective</i><br>1. insincere, hypocritical<br>2. feigned, not genuine"
31040,циркуляр,<i>Noun</i><br>1. circulaire (written directive to subordinates)<br><i>Noun</i><br>1. circulaire (written directive to subordinates)
31041,инкубационный,
31042,банановый,<i>Adjective</i><br>1. banana
31043,неисповедимый,
31044,балюстрада,<i>Noun</i><br>1. balustrade<br>2. banisters
31045,пропадом,
31046,метастаз,<i>Noun</i><br>1. metastasis
31047,цирконий,<i>Noun</i><br>1. zirconium
31048,неистовствовать,"<i>Verb</i><br>1. to rage, to rave, to storm"
31049,всезнающий,<i>Adjective</i><br>1. omniscient
31050,пропивать,<i>Verb</i><br>1. to spend/squander on drink<br>2. to ruin through drinking
31051,рассудочный,
31052,пропись,"<i>Noun</i><br>1. prescription<br>2. cursive sample sheet<br>3. cliche, platitude<br>4. handwriting among printed text<br>5. font imitating handwriting, such as true italics<br>6. preliminary drawing on canvas, used to guide the finished painting"
31053,информативность,"<i>Noun</i><br>1. informativeness, informativity, information value"
31054,стреляный,
31055,котлетка,"<i>Noun</i><br>1. meat patty, meatball, frikadelle<br>2. cutlet, chop"
31056,товарка,"<i>Noun</i><br>1. female comrade, friend"
31057,испросить,
31058,пользовать,"<i>Verb</i><br>1. to benefit<br>2. to use, to exploit<br>3. to treat"
31059,исправительно-трудовой,
31060,моление,
31061,румяна,"<i>Adjective</i><br>1. ruddy, rosy, pink"
31062,конфетный,
31063,володин,
31064,пристыдить,
31065,невыразимо,
31066,волосик,<i>Noun</i><br>1. a hair<br><i>Noun</i><br>1. a hair
31067,притворить,
31068,русак,"<i>Noun</i><br>1. European hare (Lepus europaeus)<br>2. Russian, Russki (somebody who really looks Russian or who has characteristic Russian features)"
31069,молодеть,<i>Verb</i><br>1. to become younger
31070,реанимационный,
31071,притиснуть,
31072,модуляция,<i>Noun</i><br>1. modulation
31073,притрагиваться,<i>Verb</i><br>1. to touch
31074,модница,"<i>Noun</i><br>1. female fashionista, fashionable woman"
31075,полусмерть,"<i>Noun</i><br>1. half-death, near-death state"
31076,бесноватый,"<i>Adjective</i><br>1. possessed by demons<br>2. furious, frantic, frenzied, raging<br><i>Noun</i><br>1. possessed by demons<br>2. furious, frantic, frenzied, raging"
31077,стошнить,
31078,волчонок,<i>Noun</i><br>1. wolf cub
31079,координатный,
31080,полуприкрыть,
31081,молитвенно,
31082,невообразимо,
31083,неграмотность,<i>Noun</i><br>1. illiteracy<br>2. incompetence
31084,истерзанный,"<i>Verb</i><br>1. to rip to shreds, to tear to pieces<br>2. to torment, to afflict"
31085,конкретика,<i>Noun</i><br>1. specifics
31086,приоткрытый,"<i>Verb</i><br>1. to open slightly, to set ajar"
31087,бикини,<i>Noun</i><br>1. bikini
31088,припечатать,
31089,рукоделие,"<i>Noun</i><br>1. needlework, fancywork, embroidery"
31090,монокристалл,
31091,биатлон,<i>Noun</i><br>1. biathlon (winter sport)
31092,возликовать,
31093,спечься,"<i>Verb</i><br>1. (blood) to coagulate, curdle<br>2. to cake, sinter<br>3. to be exhausted, be burned out<br>4. to fail, come a cropper"
31094,шулер,"<i>Noun</i><br>1. rook, cardsharper, sharp, blackleg"
31095,бесчинство,"<i>Noun</i><br>1. excess, outrage"
31096,шурф,
31097,беспутный,
31098,невмешательство,"<i>Noun</i><br>1. nonintervention, noninterference"
31099,невнимательно,
31100,контрабандный,<i>Adjective</i><br>1. contraband
31101,помазать,"<i>Verb</i><br>1. to oil, to grease, to lubricate<br>2. to anoint"
31102,присосаться,
31103,ревностный,"<i>Adjective</i><br>1. zealous, eager"
31104,токмо,<i>Adverb</i><br>1. only
31105,молодцом,"<i>Noun</i><br>1. fine fellow, fine girl<br>2. attaboy, attagirl, well done, bravo, good for you, good for her<br><i>Noun</i><br>1. fine fellow, fine girl<br>2. attaboy, attagirl, well done, bravo, good for you, good for her<br><i>Interjection</i><br>1. fine fellow, fine girl<br>2. attaboy, attagirl, well done, bravo, good for you, good for her"
31106,бесславный,
31107,столыпинский,
31108,молодуха,
31109,ткач,<i>Noun</i><br>1. weaver
31110,ре,<i>Noun</i><br>1. D (musical note)
31111,рэкетир,<i>Noun</i><br>1. racketeer (criminal)
31112,полноразмерный,
31113,мишин,
31114,недомыслие,"<i>Noun</i><br>1. thoughtlessness, failure to think something through"
31115,ворс,"<i>Noun</i><br>1. nap, pile"
31116,безрукий,"<i>Adjective</i><br>1. armless (without arms)<br>2. awkward, clumsy, all thumbs"
31117,провизия,"<i>Noun</i><br>1. provisions, food"
31118,ворчливо,"<i>Adverb</i><br>1. grumpily, grouchily"
31119,ворчливый,"<i>Adjective</i><br>1. grumpy, grouchy"
31120,безрассудство,"<i>Noun</i><br>1. recklessness, rashness, folly<br>2. reckless act"
31121,страшилка,<i>Noun</i><br>1. short children's horror story<br>2. information meant to scare or disturb
31122,воскресать,"<i>Verb</i><br>1. to revive, to resurrect, to rise from the dead<br>2. to revive, to feel reanimated, to rise again<br>3. (feelings, images etc.) to revive, to come back"
31123,митек,
31124,эвристический,
31125,безудержно,<i>Adjective</i><br>1. unrestrained<br>2. impetuous<br>3. unchecked
31126,полниться,
31127,инфраструктурный,
31128,полмесяца,<i>Noun</i><br>1. half a month
31129,рэ,
31130,миро,<i>Noun</i><br>1. chrism
31131,стрелочник,"<i>Noun</i><br>1. switchman, pointsman<br>2. scapegoat, whipping boy"
31132,мириада,<i>Noun</i><br>1. myriad (ten thousand)<br>2. myriad (an uncountably large number)
31133,сработаться,"<i>Verb</i><br>1. to work, to function<br>2. to succeed, to work (of an attempt)<br>3. to make, to produce"
